direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.19,0.00,0.19,0.19,0.19,0.00,0.37,0.19,0.00,0.00,0.19,0.56,0.19,0.37,0.37,0.19,0.37,0.19,0.74,0.93,0.29,0.09,0.00,0.19,0.19,0.09,0.00,0.19,0.00,0.19,0.22,0.00,0.19,0.28,0.11,0.00,0.00,0.31,0.49,0.31,0.379789740,0.296885073,0.277782440,0.268034846,0.283255666,0.296161294,0.271176755,0.274296761,0.271308780,0.271416456,0.268214107,0.268482953,0.264746040,0.265578210,0.327002466,0.307549715,0.328582138,0.317194134,0.335024476,0.326078445
0.00,0.00,0.74,0.00,0.56,0.19,0.00,0.93,0.00,78.89,0.19,0.19,0.19,0.37,0.00,0.19,0.74,0.00,0.00,0.74,45.31,32.28,34.44,58.98,41.42,42.99,74.48,34.92,44.07,74.49,65.14,45.09,49.51,52.93,79.94,70.42,27.85,27.44,50.17,39.49,0.017568860,0.016441233,0.017389152,0.015210515,0.015359701,0.017789081,0.015773248,0.019077769,0.016913867,0.015591024,0.015188653,0.017023239,0.015614282,0.016126586,0.015814733,0.015656747,0.016232818,0.015661007,0.016524555,0.017281594
90.00,87.41,0.37,98.70,83.15,95.74,100.00,38.70,37.41,100.00,100.00,91.11,92.96,97.04,99.63,100.00,0.00,72.78,96.30,0.00,90.17,84.55,50.54,98.32,83.63,92.93,100.00,50.43,71.54,100.00,100.00,90.09,91.11,95.39,99.34,100.00,56.22,80.06,95.28,69.01,0.008793895,0.007254537,0.010524694,0.006585294,0.007215145,0.008948948,0.007874610,0.011663566,0.009652414,0.006656814,0.006465022,0.007299726,0.006510560,0.007150819,0.006426329,0.006204505,0.009459924,0.007677581,0.007658933,0.007833053
100.00,91.30,40.93,100.00,93.70,98.15,100.00,51.67,92.04,100.00,100.00,99.26,100.00,100.00,100.00,100.00,71.48,81.30,100.00,100.00,100.00,90.15,60.52,100.00,92.75,97.25,100.00,61.87,94.01,100.00,100.00,99.27,100.00,100.00,100.00,100.00,79.57,84.03,100.00,100.00,0.005337813,0.005793544,0.007573584,0.004278981,0.005432871,0.005670898,0.005518290,0.008550768,0.006060417,0.004394922,0.003957629,0.004636790,0.004914141,0.005520176,0.004045843,0.004330176,0.006670852,0.005673133,0.006311366,0.005709033
100.00,93.15,48.33,100.00,96.85,100.00,100.00,48.89,97.96,100.00,100.00,99.26,100.00,100.00,100.00,100.00,75.19,80.93,100.00,100.00,100.00,92.84,69.31,100.00,97.95,100.00,100.00,65.26,97.21,100.00,100.00,99.27,100.00,100.00,100.00,100.00,81.34,86.74,100.00,100.00,0.003743838,0.003626989,0.006013762,0.003383164,0.003998209,0.004545365,0.004080695,0.007302659,0.004898286,0.003392105,0.003168115,0.004114010,0.003692991,0.003917679,0.003542059,0.003355506,0.005629481,0.004638188,0.004433266,0.004489769
100.00,92.41,48.33,100.00,95.93,100.00,100.00,56.85,97.96,100.00,100.00,99.26,100.00,100.00,100.00,100.00,84.44,84.44,100.00,100.00,100.00,92.58,69.31,100.00,96.14,100.00,100.00,67.15,97.21,100.00,100.00,99.27,100.00,100.00,100.00,100.00,89.40,88.78,100.00,100.00,0.003863061,0.003598563,0.005642193,0.003869836,0.003871582,0.004070218,0.003853353,0.006115593,0.004700698,0.003811865,0.003792379,0.003916701,0.003432823,0.003787001,0.003206180,0.003228600,0.004662982,0.004346869,0.003664984,0.003401184
100.00,92.41,49.44,100.00,95.93,100.00,100.00,60.74,97.96,100.00,100.00,99.26,100.00,100.00,100.00,100.00,84.44,84.44,100.00,100.00,100.00,92.58,73.36,100.00,96.14,100.00,100.00,71.81,97.21,100.00,100.00,99.27,100.00,100.00,100.00,100.00,89.40,88.78,100.00,100.00,0.003906015,0.004163530,0.005005217,0.003839873,0.004076993,0.004010152,0.003477523,0.005799969,0.004676811,0.003675461,0.003345099,0.003299142,0.003646964,0.003297187,0.003311854,0.003774708,0.004012108,0.003876820,0.004485579,0.003693830
100.00,92.41,48.52,100.00,95.93,100.00,100.00,60.74,97.78,100.00,100.00,99.26,100.00,100.00,100.00,100.00,86.67,83.15,100.00,100.00,100.00,92.58,75.77,100.00,96.14,100.00,100.00,71.81,97.22,100.00,100.00,99.27,100.00,100.00,100.00,100.00,90.49,89.14,100.00,100.00,0.004058274,0.003504693,0.004636721,0.003692293,0.003778969,0.003697741,0.003905177,0.005834193,0.004707682,0.003198637,0.003364027,0.003707170,0.003919285,0.003877379,0.003423395,0.003613090,0.004287502,0.003592975,0.003845390,0.003562384
100.00,92.78,44.07,100.00,96.30,100.00,100.00,57.22,98.52,100.00,100.00,99.26,100.00,100.00,100.00,100.00,87.04,83.15,100.00,100.00,100.00,91.99,71.17,100.00,96.68,100.00,100.00,73.69,97.50,100.00,100.00,99.27,100.00,100.00,100.00,100.00,91.65,89.14,100.00,100.00,0.003567482,0.003995346,0.004466022,0.003403419,0.003766118,0.003250182,0.003313600,0.005170887,0.003808583,0.003707449,0.003346426,0.003305707,0.003772054,0.003795522,0.003235165,0.003507695,0.004581964,0.004047030,0.003570136,0.003362281
100.00,92.78,44.07,100.00,96.30,100.00,100.00,57.22,98.52,100.00,100.00,99.26,100.00,100.00,100.00,100.00,86.30,83.15,100.00,100.00,100.00,91.99,71.17,100.00,96.77,100.00,100.00,73.69,97.59,100.00,100.00,99.27,100.00,100.00,100.00,100.00,90.39,89.14,100.00,100.00,0.004214096,0.003674622,0.004807838,0.003575793,0.003987523,0.003631739,0.003662959,0.005259169,0.004448842,0.003697182,0.003604989,0.004090053,0.003761229,0.003787700,0.003796500,0.003819129,0.004131820,0.003976418,0.003593743,0.003582708
